Id,Timestamp,Elaboration,Emotion,MeetingHours,Platform,PrivateElaboration,Reactions,Selection,SlackMessageId,SlackOrgId,SlackTeamId,SlackUserId
d94329cbd86d4dc188613cd3956e046b,1645627264.332660000000000000000,,fatigued,null,slack,null,"{""U02EZK58CMQ"":{""S"":"":heart:""},""U030JSMDTND"":{""S"":"":heart:""},""UQ6157D2S"":{""S"":"":heart:""},""U022ZAGPHU1"":{""S"":"":heart:""}}",yellow,null,TQ3QD783A,UQ3QMNZ4M&0,U033XN5SL8J
ae1adb405e1a474c8c6dff2049f28484,1645633100.65660000000000000000,Had a late night trying to catch up on school/work and had a yoga class this morning which really helped catapult me into today :),tired,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":heart:""},""U030JSMDTND"":{""S"":"":heart:""},""UQ6157D2S"":{""S"":"":heart:""}}",yellow,null,TQ3QD783A,U02UB0BTJES&0,U02UB0BTJES
ed3c8411d11f44b68125182e57ca4a1d,1645633100.65660000000000000000,Had a late night trying to catch up on school/work and had a yoga class this morning which really helped catapult me into today :),tired,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":heart:""},""U030JSMDTND"":{""S"":"":heart:""},""UQ6157D2S"":{""S"":"":heart:""}}",yellow,null,TQ3QD783A,UQ3QMNZ4M&0,U02UB0BTJES
35204c315d0c46f8b14adacd9d901129,1645635480.5740700000000000000000,,anxious,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":heart:""},""UQ6157D2S"":{""S"":"":heart:""}}",yellow,null,TQ3QD783A,UQ3QMNZ4M&0,U030JSMDTND
9b609a7a7c954a4ab324687f7f77af00,1645637175.118820000000000000,,,null,slack,null,null,yellow,null,TQ3QD783A,U02SGN4NB9S&0,U02SGN4NB9S
fdcbab8c84d843c588100dcdb1dd2f49,1645637175.118820000000000000,,,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&1,U02SGN4NB9S
3765a34799354cb3b00914a57e007a30,1645637175.118820000000000000,,,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&0,U02SGN4NB9S
6fb61daeaac2451f87cf75d14ed3855a,1645637180.9185700000000000000000,,,null,slack,null,null,yellow,null,TQ3QD783A,U02SGN4NB9S&0,U02SGN4NB9S
a36af7fc314e420e8a904516bb00d60f,1645637180.9185700000000000000000,,,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&0,U02SGN4NB9S
6f1303c336244b7896a5538986134d91,1645637180.9185700000000000000000,,,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&1,U02SGN4NB9S
6037525367fc47da85ec1e5b0f373c66,1645637206.6684300000000000000000,"Had a lot of trouble sleeping last night, so I am feeling tired and annoyed that I am still having trouble sleeping. Thinking about getting a new duvet for my bed tonight, because I think maybe I have just been cold...",hanging_in_there,null,slack,null,null,yellow,null,TQ3QD783A,U02SGN4NB9S&0,U02SGN4NB9S
e72defc90fc24551ba58174343cf101e,1645637206.6684300000000000000000,"Had a lot of trouble sleeping last night, so I am feeling tired and annoyed that I am still having trouble sleeping. Thinking about getting a new duvet for my bed tonight, because I think maybe I have just been cold...",hanging_in_there,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&0,U02SGN4NB9S
a3ab21fd6dfc46ae98c09b2495043008,1645637206.6684300000000000000000,"Had a lot of trouble sleeping last night, so I am feeling tired and annoyed that I am still having trouble sleeping. Thinking about getting a new duvet for my bed tonight, because I think maybe I have just been cold...",hanging_in_there,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&1,U02SGN4NB9S
b7da1c855eec452eb25b80b73bf8eeeb,1645655199.647350000000000000000,"Woah suddenly felt super tired, might be because of an afternoon crash or something like that. Excited to get some more heads-down work done!",tired,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&1,UQ3QMNZ4M
38349489e2a042ad811e8a5324d588a8,1645655199.647350000000000000000,"Woah suddenly felt super tired, might be because of an afternoon crash or something like that. Excited to get some more heads-down work done!",tired,null,slack,null,null,yellow,null,TQ3QD783A,UQ5L65QKZ&1,UQ3QMNZ4M
3fae13a8c9014e60aedabda798aa6eed,1645655199.647350000000000000000,"Woah suddenly felt super tired, might be because of an afternoon crash or something like that. Excited to get some more heads-down work done!",tired,null,slack,null,null,yellow,null,TQ3QD783A,UQ5L65QKZ&0,UQ3QMNZ4M
dc2526b83bb84cc1987aec9e4fdf039a,1645655199.647350000000000000000,"Woah suddenly felt super tired, might be because of an afternoon crash or something like that. Excited to get some more heads-down work done!",tired,null,slack,null,null,yellow,null,TQ3QD783A,U01URC62FJL&0,UQ3QMNZ4M
4d8deac75dd6413cbd1de19ef7f0ff46,1645655199.647350000000000000000,"Woah suddenly felt super tired, might be because of an afternoon crash or something like that. Excited to get some more heads-down work done!",tired,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&0,UQ3QMNZ4M
b097bb2f84c64a1d984ff1e7a67a16c6,1645655199.647350000000000000000,"Woah suddenly felt super tired, might be because of an afternoon crash or something like that. Excited to get some more heads-down work done!",tired,null,slack,null,null,yellow,null,TQ3QD783A,UQ5L65QKZ&2,UQ3QMNZ4M
3ad7903b89094936ae23b9fc4f2e9ba5,1645655199.647350000000000000000,"Woah suddenly felt super tired, might be because of an afternoon crash or something like that. Excited to get some more heads-down work done!",tired,null,slack,null,null,yellow,null,TQ3QD783A,U02SGN4NB9S&0,UQ3QMNZ4M
601888c43ffc4acf9f676c9517e2d4e3,1645714962.0556900000000000000000,,neutral,null,slack,null,null,yellow,null,TQ3QD783A,U02EZK58CMQ&0,U02EZK58CMQ
119cb109e9ce46be92f30775426c5a7a,1645714962.0556900000000000000000,,neutral,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&0,U02EZK58CMQ
b9a73e0c76db41ce81970f283f2886be,1645716053.75091000000000000,"World orange, personal green. Feel lucky and privileged nobody that I know is affected by the attacks in Ukraine, but it feels like things can get out of hand easily.

Work: excited to stay focused, define a medium-term roadmap, & a hiring strategy!",nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&1,UQ3QMNZ4M
6e113d8414ec47cd916f0d7f39ebecf9,1645716053.75091000000000000,"World orange, personal green. Feel lucky and privileged nobody that I know is affected by the attacks in Ukraine, but it feels like things can get out of hand easily.

Work: excited to stay focused, define a medium-term roadmap, & a hiring strategy!",nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,U02SGN4NB9S&0,UQ3QMNZ4M
eebf46ec12b748a2a755d247e94b85be,1645716053.75091000000000000,"World orange, personal green. Feel lucky and privileged nobody that I know is affected by the attacks in Ukraine, but it feels like things can get out of hand easily.

Work: excited to stay focused, define a medium-term roadmap, & a hiring strategy!",nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,UQ5L65QKZ&1,UQ3QMNZ4M
e7a53806675c4655a86daeea118d2435,1645716053.75091000000000000,"World orange, personal green. Feel lucky and privileged nobody that I know is affected by the attacks in Ukraine, but it feels like things can get out of hand easily.

Work: excited to stay focused, define a medium-term roadmap, & a hiring strategy!",nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,U01URC62FJL&0,UQ3QMNZ4M
85ca3c40eab742c4b58be88047d6db0e,1645716053.75091000000000000,"World orange, personal green. Feel lucky and privileged nobody that I know is affected by the attacks in Ukraine, but it feels like things can get out of hand easily.

Work: excited to stay focused, define a medium-term roadmap, & a hiring strategy!",nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&0,UQ3QMNZ4M
ae310b0ffdba4ddbbb4a98c582c12c2e,1645716053.75091000000000000,"World orange, personal green. Feel lucky and privileged nobody that I know is affected by the attacks in Ukraine, but it feels like things can get out of hand easily.

Work: excited to stay focused, define a medium-term roadmap, & a hiring strategy!",nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,UQ5L65QKZ&2,UQ3QMNZ4M
84577f872fa549cc8f1404f138d6796e,1645716053.75091000000000000,"World orange, personal green. Feel lucky and privileged nobody that I know is affected by the attacks in Ukraine, but it feels like things can get out of hand easily.

Work: excited to stay focused, define a medium-term roadmap, & a hiring strategy!",nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,UQ5L65QKZ&0,UQ3QMNZ4M
0d3d78c2f83b4e808427808265868a54,1645719233.8343500000000000000000,"World orange, personal green. Feel lucky and privileged nobody that I know is affected by the attacks in Ukraine, but it feels like things can get out of hand easily.

Work: excited to stay focused, define a medium-term roadmap, & a hiring strategy!",nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,UQ5L65QKZ&2,UQ3QMNZ4M
086aae60465243f284536f93d9257ea6,1645719233.8343500000000000000000,"World orange, personal green. Feel lucky and privileged nobody that I know is affected by the attacks in Ukraine, but it feels like things can get out of hand easily.

Work: excited to stay focused, define a medium-term roadmap, & a hiring strategy!",nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,U02SGN4NB9S&0,UQ3QMNZ4M
463da8d08a564ffb9c2e0d6f32fbeba9,1645719233.8343500000000000000000,"World orange, personal green. Feel lucky and privileged nobody that I know is affected by the attacks in Ukraine, but it feels like things can get out of hand easily.

Work: excited to stay focused, define a medium-term roadmap, & a hiring strategy!",nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&0,UQ3QMNZ4M
92c7c9f1f6734ccd92d1a681fd59afd0,1645719233.8343500000000000000000,"World orange, personal green. Feel lucky and privileged nobody that I know is affected by the attacks in Ukraine, but it feels like things can get out of hand easily.

Work: excited to stay focused, define a medium-term roadmap, & a hiring strategy!",nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,U01URC62FJL&0,UQ3QMNZ4M
3cd2fedf65e64c91a388a166e2fd2c95,1645719233.8343500000000000000000,"World orange, personal green. Feel lucky and privileged nobody that I know is affected by the attacks in Ukraine, but it feels like things can get out of hand easily.

Work: excited to stay focused, define a medium-term roadmap, & a hiring strategy!",nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,UQ5L65QKZ&1,UQ3QMNZ4M
981e93714d4745f2860bcfdb9205cbd1,1645719233.8343500000000000000000,"World orange, personal green. Feel lucky and privileged nobody that I know is affected by the attacks in Ukraine, but it feels like things can get out of hand easily.

Work: excited to stay focused, define a medium-term roadmap, & a hiring strategy!",nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,UQ5L65QKZ&0,UQ3QMNZ4M
10c902fc5fc34020904f0b792d37989e,1645719233.8343500000000000000000,"World orange, personal green. Feel lucky and privileged nobody that I know is affected by the attacks in Ukraine, but it feels like things can get out of hand easily.

Work: excited to stay focused, define a medium-term roadmap, & a hiring strategy!",nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&1,UQ3QMNZ4M
70521650142945969af4bbf7e436d412,1645729163.579450000000000000000,,nothing_out_of_the_ordinary,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&0,U030JSMDTND
d89bab455a12458c8965c63fecc3f5b5,1645731814.58815000000000000000,"Worried for Ukraine and Europe generally. Work: Glad to get back into the swing of things!

Life: We won our soccer game yesterday! 2-1, but the goal we conceded was my fault. Hard not to take the blame for it, but glad we ended up winning.",content,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":heart:""}}",yellow,null,TQ3QD783A,UQ6157D2S&0,UQ5L65QKZ
0df15fe5c2064f1aa6ce070449915e43,1645731814.58815000000000000000,"Worried for Ukraine and Europe generally. Work: Glad to get back into the swing of things!

Life: We won our soccer game yesterday! 2-1, but the goal we conceded was my fault. Hard not to take the blame for it, but glad we ended up winning.",content,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":heart:""}}",yellow,null,TQ3QD783A,U02SGN4NB9S&0,UQ5L65QKZ
d8fe5d07bc4641fc8b1afbedced5ffad,1645731814.58815000000000000000,"Worried for Ukraine and Europe generally. Work: Glad to get back into the swing of things!

Life: We won our soccer game yesterday! 2-1, but the goal we conceded was my fault. Hard not to take the blame for it, but glad we ended up winning.",content,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":heart:""}}",yellow,null,TQ3QD783A,UQ5L65QKZ&0,UQ5L65QKZ
aded380c0f814b179c67c343a04b9eb7,1645731814.58815000000000000000,"Worried for Ukraine and Europe generally. Work: Glad to get back into the swing of things!

Life: We won our soccer game yesterday! 2-1, but the goal we conceded was my fault. Hard not to take the blame for it, but glad we ended up winning.",content,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":heart:""}}",yellow,null,TQ3QD783A,UQ5L65QKZ&2,UQ5L65QKZ
965c9d843b174f94bcc9a89b5143b365,1645731814.58815000000000000000,"Worried for Ukraine and Europe generally. Work: Glad to get back into the swing of things!

Life: We won our soccer game yesterday! 2-1, but the goal we conceded was my fault. Hard not to take the blame for it, but glad we ended up winning.",content,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":heart:""}}",yellow,null,TQ3QD783A,UQ5L65QKZ&1,UQ5L65QKZ
51eb098b8e064610b48a7049f664916f,1645731814.58815000000000000000,"Worried for Ukraine and Europe generally. Work: Glad to get back into the swing of things!

Life: We won our soccer game yesterday! 2-1, but the goal we conceded was my fault. Hard not to take the blame for it, but glad we ended up winning.",content,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":heart:""}}",yellow,null,TQ3QD783A,UQ3QMNZ4M&1,UQ5L65QKZ
0ec1710c96634f5c9c9379a30a9e9c58,1645731814.58815000000000000000,"Worried for Ukraine and Europe generally. Work: Glad to get back into the swing of things!

Life: We won our soccer game yesterday! 2-1, but the goal we conceded was my fault. Hard not to take the blame for it, but glad we ended up winning.",content,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":heart:""}}",yellow,null,TQ3QD783A,UQ3QMNZ4M&0,UQ5L65QKZ
68721daa39bd4f45afccc24a8ba85a1a,1645732345.4030700000000000000000,,anxious,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&1,U01URC62FJL
cf811c92baf54e218102d4e558ea3a42,1645732345.4030700000000000000000,,anxious,null,slack,null,null,yellow,null,TQ3QD783A,UQ3QMNZ4M&0,U01URC62FJL
9b7fd5919c6042449fa94b75f20f3901,1645732345.4030700000000000000000,,anxious,null,slack,null,null,yellow,null,TQ3QD783A,U01URC62FJL&0,U01URC62FJL
c3ce7ca7baa9499582b8e0eae3f28cea,1645740819.1630600000000000000000,"I throw myself into work and then check twitter for a second and all the day to day stuff feels so minuscule in the grand scheme of what's going on, sigh",sad,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":cry:""},""U02UB0BTJES"":{""S"":"":cry:""},""UQ6157D2S"":{""S"":"":cry:""}}",yellow,null,TQ3QD783A,UQ3QMNZ4M&0,UQ5L65QKZ
25e204a356bd4230b386a8d026cd4e88,1645740819.1630600000000000000000,"I throw myself into work and then check twitter for a second and all the day to day stuff feels so minuscule in the grand scheme of what's going on, sigh",sad,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":cry:""},""U02UB0BTJES"":{""S"":"":cry:""},""UQ6157D2S"":{""S"":"":cry:""}}",yellow,null,TQ3QD783A,UQ6157D2S&0,UQ5L65QKZ
1e742a8bfd5741a889da30d9d91b9087,1645740819.1630600000000000000000,"I throw myself into work and then check twitter for a second and all the day to day stuff feels so minuscule in the grand scheme of what's going on, sigh",sad,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":cry:""},""U02UB0BTJES"":{""S"":"":cry:""},""UQ6157D2S"":{""S"":"":cry:""}}",yellow,null,TQ3QD783A,UQ5L65QKZ&2,UQ5L65QKZ
4a7e5a8990ba48babcd00cef47df43cd,1645740819.1630600000000000000000,"I throw myself into work and then check twitter for a second and all the day to day stuff feels so minuscule in the grand scheme of what's going on, sigh",sad,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":cry:""},""U02UB0BTJES"":{""S"":"":cry:""},""UQ6157D2S"":{""S"":"":cry:""}}",yellow,null,TQ3QD783A,U02SGN4NB9S&0,UQ5L65QKZ
be092c271f3b476e94b582d4bb25efc4,1645740819.1630600000000000000000,"I throw myself into work and then check twitter for a second and all the day to day stuff feels so minuscule in the grand scheme of what's going on, sigh",sad,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":cry:""},""U02UB0BTJES"":{""S"":"":cry:""},""UQ6157D2S"":{""S"":"":cry:""}}",yellow,null,TQ3QD783A,UQ3QMNZ4M&1,UQ5L65QKZ
cb840a7e46a9440bb02a005873a5e085,1645740819.1630600000000000000000,"I throw myself into work and then check twitter for a second and all the day to day stuff feels so minuscule in the grand scheme of what's going on, sigh",sad,null,slack,null,"{""UQ3QMNZ4M"":{""S"":"":cry:""},""U02UB0BTJES"":{""S"":"":cry:""},""UQ6157D2S"":{""S"":"":cry:""}}",yellow,null,TQ3QD783A,UQ5L65QKZ&0,UQ5L65QKZ
